PEDIDO;PRODUCTO;RUTA;TIPO;VUELO_INSTANCIA
03-13-05-SEQM-286-0000124;03-13-05-SEQM-286-0000124-PROD-0001;null → SEQM (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SEQM-0334-2025-10-05
03-22-13-LATI-204-0000006;03-22-13-LATI-204-0000006-PROD-0001;null → LATI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-LATI-0459-2025-10-05
03-23-47-OAKB-320-0000093;03-23-47-OAKB-320-0000093-PROD-0001;null → OAKB (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OAKB-0424-2025-10-05
03-23-22-EHAM-256-0000022;03-23-22-EHAM-256-0000022-PROD-0001;null → EHAM (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-EHAM-0112-2025-10-05
03-23-25-LOWW-317-0000017;03-23-25-LOWW-317-0000017-PROD-0001;null → LOWW (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-LOWW-0134-2025-10-05
03-15-29-SEQM-229-0000208;03-15-29-SEQM-229-0000208-PROD-0001;null → SEQM (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SEQM-0334-2025-10-05
04-00-38-OYSN-215-0000173;04-00-38-OYSN-215-0000173-PROD-0001;null → OYSN (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OYSN-0351-2025-10-05
03-17-42-SVMI-247-0000182;03-17-42-SVMI-247-0000182-PROD-0001;null → SVMI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SVMI-0724-2025-10-05
04-03-33-VIDP-339-0000004;04-03-33-VIDP-339-0000004-PROD-0001;null → VIDP (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-VIDP-0544-2025-10-05
04-03-34-VIDP-309-0000069;04-03-34-VIDP-309-0000069-PROD-0001;null → VIDP (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-VIDP-0544-2025-10-05
03-20-58-SVMI-349-0000089;03-20-58-SVMI-349-0000089-PROD-0001;null → SVMI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SVMI-0724-2025-10-05
04-04-40-OYSN-295-0000018;04-04-40-OYSN-295-0000018-PROD-0001;null → OYSN (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OYSN-0351-2025-10-05
03-20-49-SKBO-292-0000287;03-20-49-SKBO-292-0000287-PROD-0001;null → SKBO (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SEQM-SKBO-0429-2025-10-05
04-05-03-SABE-217-0000071;04-05-03-SABE-217-0000071-PROD-0001;null → SABE (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SABE-0041-2025-10-05
04-14-09-OOMS-245-0000015;04-14-09-OOMS-245-0000015-PROD-0001;null → OOMS (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OOMS-0349-2025-10-05
04-07-15-SUAA-220-0000185;04-07-15-SUAA-220-0000185-PROD-0001;null → SUAA (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SUAA-2233-2025-10-05
04-15-33-OAKB-249-0000018;04-15-33-OAKB-249-0000018-PROD-0001;null → OAKB (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OAKB-0424-2025-10-05
04-14-52-EHAM-324-0000007;04-14-52-EHAM-324-0000007-PROD-0001;null → EHAM (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-EHAM-0112-2025-10-05
04-15-56-OSDI-294-0000008;04-15-56-OSDI-294-0000008-PROD-0001;null → OSDI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OSDI-0414-2025-10-05
04-16-49-OYSN-257-0000003;04-16-49-OYSN-257-0000003-PROD-0001;null → OYSN (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OYSN-0351-2025-10-05
04-11-24-SABE-335-0000017;04-11-24-SABE-335-0000017-PROD-0001;null → SABE (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SABE-0041-2025-10-05
04-18-08-OYSN-236-0000078;04-18-08-OYSN-236-0000078-PROD-0001;null → OYSN (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OYSN-0351-2025-10-05
04-11-49-SEQM-224-0000015;04-11-49-SEQM-224-0000015-PROD-0001;null → SEQM (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SEQM-0334-2025-10-05
04-21-07-OSDI-238-0000040;04-21-07-OSDI-238-0000040-PROD-0001;null → OSDI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OSDI-0414-2025-10-05
04-21-55-EKCH-203-0000299;04-21-55-EKCH-203-0000299-PROD-0001;null → EKCH (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-EKCH-0149-2025-10-05
04-22-56-OSDI-306-0000010;04-22-56-OSDI-306-0000010-PROD-0001;null → OSDI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OSDI-0414-2025-10-05
05-00-04-OAKB-268-0000106;05-00-04-OAKB-268-0000106-PROD-0001;null → OAKB (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OAKB-0424-2025-10-05
04-17-13-SCEL-219-0000278;04-17-13-SCEL-219-0000278-PROD-0001;null → SCEL (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SCEL-0020-2025-10-05
05-00-00-EDDI-204-0000083;05-00-00-EDDI-204-0000083-PROD-0001;null → EDDI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-EDDI-0200-2025-10-05
04-21-20-SUAA-232-0000111;04-21-20-SUAA-232-0000111-PROD-0001;null → SUAA (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SUAA-2233-2025-10-05
04-21-39-SKBO-304-0000004;04-21-39-SKBO-304-0000004-PROD-0001;null → SKBO (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SEQM-SKBO-0429-2025-10-05
04-22-37-SKBO-260-0000289;04-22-37-SKBO-260-0000289-PROD-0001;null → SKBO (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SEQM-SKBO-0429-2025-10-05
05-10-12-LKPR-255-0000300;05-10-12-LKPR-255-0000300-PROD-0001;null → LKPR (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-LKPR-0532-2025-10-05
05-11-00-EDDI-340-0000172;05-11-00-EDDI-340-0000172-PROD-0001;null → EDDI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-EDDI-0200-2025-10-05
05-11-28-UMMS-212-0000012;05-11-28-UMMS-212-0000012-PROD-0001;null → UMMS (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-UMMS-0241-2025-10-05
05-12-11-LATI-295-0000004;05-12-11-LATI-295-0000004-PROD-0001;null → LATI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-LATI-0459-2025-10-05
05-12-16-UMMS-285-0000005;05-12-16-UMMS-285-0000005-PROD-0001;null → UMMS (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-UMMS-0241-2025-10-05
05-12-48-OERK-222-0000151;05-12-48-OERK-222-0000151-PROD-0001;null → OERK (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OERK-0545-2025-10-05
05-19-30-OJAI-201-0000011;05-19-30-OJAI-201-0000011-PROD-0001;null → OJAI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OJAI-0519-2025-10-05
05-12-32-SKBO-340-0000226;05-12-32-SKBO-340-0000226-PROD-0001;null → SKBO (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SEQM-SKBO-0429-2025-10-05
05-22-44-LOWW-207-0000203;05-22-44-LOWW-207-0000203-PROD-0001;null → LOWW (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-LOWW-0134-2025-10-05
05-16-24-SLLP-276-0000282;05-16-24-SLLP-276-0000282-PROD-0001;null → SLLP (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SLLP-2133-2025-10-05
06-00-48-OYSN-203-0000183;06-00-48-OYSN-203-0000183-PROD-0001;null → OYSN (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OYSN-0351-2025-10-05
06-01-26-EDDI-215-0000015;06-01-26-EDDI-215-0000015-PROD-0001;null → EDDI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-EDDI-0200-2025-10-05
06-02-38-OOMS-343-0000012;06-02-38-OOMS-343-0000012-PROD-0001;null → OOMS (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OOMS-0349-2025-10-05
06-02-13-UMMS-239-0000242;06-02-13-UMMS-239-0000242-PROD-0001;null → UMMS (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-UMMS-0241-2025-10-05
06-02-29-UMMS-348-0000122;06-02-29-UMMS-348-0000122-PROD-0001;null → UMMS (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-UMMS-0241-2025-10-05
06-03-51-OJAI-344-0000030;06-03-51-OJAI-344-0000030-PROD-0001;null → OJAI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OJAI-0519-2025-10-05
06-04-45-EDDI-268-0000011;06-04-45-EDDI-268-0000011-PROD-0001;null → EDDI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-EDDI-0200-2025-10-05
05-21-55-SVMI-267-0000271;05-21-55-SVMI-267-0000271-PROD-0001;null → SVMI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SVMI-0724-2025-10-05
06-05-28-LKPR-244-0000019;06-05-28-LKPR-244-0000019-PROD-0001;null → LKPR (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-LKPR-0532-2025-10-05
06-06-33-LOWW-345-0000100;06-06-33-LOWW-345-0000100-PROD-0001;null → LOWW (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-LOWW-0134-2025-10-05
06-09-27-OYSN-333-0000023;06-09-27-OYSN-333-0000023-PROD-0001;null → OYSN (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OYSN-0351-2025-10-05
06-03-15-SGAS-220-0000016;06-03-15-SGAS-220-0000016-PROD-0001;null → SGAS (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SGAS-0610-2025-10-05
06-10-27-LATI-343-0000244;06-10-27-LATI-343-0000244-PROD-0001;null → LATI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-LATI-0459-2025-10-05
06-03-46-SVMI-237-0000269;06-03-46-SVMI-237-0000269-PROD-0001;null → SVMI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SVMI-0724-2025-10-05
06-03-10-SEQM-305-0000044;06-03-10-SEQM-305-0000044-PROD-0001;null → SEQM (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SEQM-0334-2025-10-05
06-04-31-SVMI-349-0000011;06-04-31-SVMI-349-0000011-PROD-0001;null → SVMI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SVMI-0724-2025-10-05
06-05-15-SKBO-280-0000133;06-05-15-SKBO-280-0000133-PROD-0001;null → SKBO (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SEQM-SKBO-0429-2025-10-05
06-13-43-LBSF-211-0000296;06-13-43-LBSF-211-0000296-PROD-0001;null → LBSF (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-LBSF-0622-2025-10-05
06-09-07-SUAA-223-0000023;06-09-07-SUAA-223-0000023-PROD-0001;null → SUAA (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SUAA-2233-2025-10-05
06-16-11-OAKB-329-0000171;06-16-11-OAKB-329-0000171-PROD-0001;null → OAKB (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OAKB-0424-2025-10-05
06-19-10-OPKC-298-0000011;06-19-10-OPKC-298-0000011-PROD-0001;null → OPKC (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OPKC-0517-2025-10-05
06-17-25-OSDI-347-0000012;06-17-25-OSDI-347-0000012-PROD-0001;null → OSDI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OSDI-0414-2025-10-05
06-19-33-OPKC-280-0000211;06-19-33-OPKC-280-0000211-PROD-0001;null → OPKC (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OPKC-0517-2025-10-05
06-11-05-SVMI-281-0000024;06-11-05-SVMI-281-0000024-PROD-0001;null → SVMI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SVMI-0724-2025-10-05
06-15-05-OMDB-230-0000018;06-15-05-OMDB-230-0000018-PROD-0001;null → OMDB (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OMDB-0455-2025-10-05
06-18-15-OJAI-255-0000086;06-18-15-OJAI-255-0000086-PROD-0001;null → OJAI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OJAI-0519-2025-10-05
06-18-19-EHAM-310-0000018;06-18-19-EHAM-310-0000018-PROD-0001;null → EHAM (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-EHAM-0112-2025-10-05
06-14-26-SLLP-247-0000212;06-14-26-SLLP-247-0000212-PROD-0001;null → SLLP (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SLLP-2133-2025-10-05
06-18-23-SLLP-345-0000175;06-18-23-SLLP-345-0000175-PROD-0001;null → SLLP (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SLLP-2133-2025-10-05
06-20-04-SABE-225-0000010;06-20-04-SABE-225-0000010-PROD-0001;null → SABE (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SABE-0041-2025-10-05
06-20-23-SABE-248-0000007;06-20-23-SABE-248-0000007-PROD-0001;null → SABE (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SABE-0041-2025-10-05
07-07-14-LDZA-224-0000254;07-07-14-LDZA-224-0000254-PROD-0001;null → LDZA (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-LDZA-0556-2025-10-05
07-08-20-OERK-215-0000084;07-08-20-OERK-215-0000084-PROD-0001;null → OERK (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OERK-0545-2025-10-05
07-04-57-SGAS-232-0000008;07-04-57-SGAS-232-0000008-PROD-0001;null → SGAS (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SGAS-0610-2025-10-05
07-06-31-SABE-264-0000011;07-06-31-SABE-264-0000011-PROD-0001;null → SABE (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SABE-0041-2025-10-05
07-13-41-EKCH-327-0000019;07-13-41-EKCH-327-0000019-PROD-0001;null → EKCH (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-EKCH-0149-2025-10-05
07-16-01-UMMS-200-0000154;07-16-01-UMMS-200-0000154-PROD-0001;null → UMMS (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-UMMS-0241-2025-10-05
07-16-53-OJAI-343-0000066;07-16-53-OJAI-343-0000066-PROD-0001;null → OJAI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OJAI-0519-2025-10-05
07-18-18-LATI-229-0000017;07-18-18-LATI-229-0000017-PROD-0001;null → LATI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-LATI-0459-2025-10-05
07-19-09-OYSN-320-0000193;07-19-09-OYSN-320-0000193-PROD-0001;null → OYSN (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OYSN-0351-2025-10-05
