=========================================================================
                    REPORTE DETALLADO: RUTAS POR PEDIDOS
=========================================================================
⏰ HORARIOS UTC+0: ID pedido, salida y llegada del plan de vuelo
✈️ DURACIÓN: Continental 12h, Intercontinental 24h (+2h escalas)
📝 TIEMPO GRACIA: 2h entre pedido y primer vuelo disponible
🌍 CONTINENTES: S=Sudamérica, E/L=Europa, O/U/V=Asia

ID PEDIDO UTC+0           | DESTINO  | CANT | TIPO RUTA  | SALIDA UTC+0       | LLEGADA UTC+0      | RUTA COMPLETA                 
✅ 04-13-52-EHAM-324-0000007 | EHAM     |  324 | DIRECTA    | D4 15:52 UTC     | D5 03:52 UTC     | EBCI → EHAM                   
✅ 07-01-04-SABE-225-0000010 | SABE     |  225 | DIRECTA    | D7 03:04 UTC     | D7 13:04 UTC     | SPIM → SABE                   
✅ 15-04-53-OERK-249-0000015 | OERK     |  249 | DIRECTA    | D15 06:53 UTC    | D15 19:53 UTC    | UBBB → OERK                   
✅ 20-13-53-SKBO-206-0000015 | SKBO     |  206 | DIRECTA    | D20 15:53 UTC    | D21 03:53 UTC    | SPIM → SKBO                   
✅ 28-16-04-OJAI-277-0000015 | OJAI     |  277 | DIRECTA    | D28 18:04 UTC    | D29 06:04 UTC    | UBBB → OJAI                   
✅ 22-10-50-SVMI-301-0000011 | SVMI     |  301 | DIRECTA    | D22 12:50 UTC    | D22 23:50 UTC    | SPIM → SVMI                   
✅ 18-21-30-SGAS-329-0000012 | SGAS     |  329 | DIRECTA    | D18 23:30 UTC    | D19 10:30 UTC    | SPIM → SGAS                   
✅ 02-00-52-LOWW-215-0000001 | LOWW     |  215 | DIRECTA    | D2 02:52 UTC     | D2 14:52 UTC     | EBCI → LOWW                   
✅ 19-16-24-EHAM-289-0000005 | EHAM     |  289 | DIRECTA    | D19 18:24 UTC    | D20 06:24 UTC    | EBCI → EHAM                   
✅ 10-23-55-LKPR-267-0000019 | LKPR     |  267 | DIRECTA    | D11 01:55 UTC    | D11 13:55 UTC    | EBCI → LKPR                   
✅ 02-10-05-SUAA-238-0000022 | SUAA     |  238 | DIRECTA    | D2 12:05 UTC     | D2 22:05 UTC     | SPIM → SUAA                   
✅ 25-06-07-SUAA-297-0000025 | SUAA     |  297 | DIRECTA    | D25 08:07 UTC    | D25 18:07 UTC    | SPIM → SUAA                   
✅ 12-17-58-OMDB-229-0000021 | OMDB     |  229 | DIRECTA    | D12 19:58 UTC    | D13 07:58 UTC    | UBBB → OMDB                   
✅ 16-23-09-UMMS-247-0000009 | UMMS     |  247 | DIRECTA    | D17 01:09 UTC    | D17 11:09 UTC    | UBBB → UMMS                   
✅ 24-10-09-LOWW-258-0000009 | LOWW     |  258 | DIRECTA    | D24 12:09 UTC    | D25 00:09 UTC    | EBCI → LOWW                   
✅ 25-15-08-SABE-223-0000010 | SABE     |  223 | DIRECTA    | D25 17:08 UTC    | D26 03:08 UTC    | SPIM → SABE                   
✅ 20-16-02-OAKB-292-0000018 | OAKB     |  292 | DIRECTA    | D20 18:02 UTC    | D21 07:02 UTC    | UBBB → OAKB                   
✅ 21-02-49-LKPR-333-0000001 | LKPR     |  333 | DIVIDIDO   | D21 04:49 UTC    | D21 20:49 UTC    | DIVIDIDO → D21-05:23[300](DIR), D21-09:10[33](DIR)
✅ 21-01-50-EHAM-296-0000016 | EHAM     |  296 | DIRECTA    | D21 03:50 UTC    | D21 15:50 UTC    | EBCI → EHAM                   
✅ 09-00-02-EHAM-349-0000013 | EHAM     |  349 | DIRECTA    | D9 02:02 UTC     | D9 14:02 UTC     | EBCI → EHAM                   
✅ 03-04-21-OJAI-245-0000012 | OJAI     |  245 | DIRECTA    | D3 06:21 UTC     | D3 18:21 UTC     | UBBB → OJAI                   
✅ 14-15-56-OOMS-220-0000001 | OOMS     |  220 | DIRECTA    | D14 17:56 UTC    | D15 05:56 UTC    | UBBB → OOMS                   
✅ 18-07-46-OAKB-307-0000014 | OAKB     |  307 | DIRECTA    | D18 09:46 UTC    | D18 22:46 UTC    | UBBB → OAKB                   
✅ 05-07-28-UMMS-212-0000012 | UMMS     |  212 | DIRECTA    | D5 09:28 UTC     | D5 19:28 UTC     | UBBB → UMMS                   
✅ 24-06-04-OMDB-257-0000008 | OMDB     |  257 | DIRECTA    | D24 08:04 UTC    | D24 20:04 UTC    | UBBB → OMDB                   
✅ 10-08-15-OOMS-227-0000023 | OOMS     |  227 | DIRECTA    | D10 10:15 UTC    | D10 22:15 UTC    | UBBB → OOMS                   
✅ 17-14-36-OAKB-249-0000003 | OAKB     |  249 | DIRECTA    | D17 16:36 UTC    | D18 05:36 UTC    | UBBB → OAKB                   
✅ 16-15-18-EKCH-332-0000008 | EKCH     |  332 | DIRECTA    | D16 17:18 UTC    | D17 05:18 UTC    | EBCI → EKCH                   
✅ 21-22-46-SUAA-275-0000013 | SUAA     |  275 | DIRECTA    | D22 00:46 UTC    | D22 10:46 UTC    | SPIM → SUAA                   
✅ 19-02-12-SABE-303-0000004 | SABE     |  303 | DIRECTA    | D19 04:12 UTC    | D19 14:12 UTC    | SPIM → SABE                   
✅ 06-03-45-EDDI-268-0000011 | EDDI     |  268 | DIRECTA    | D6 05:45 UTC     | D6 17:45 UTC     | EBCI → EDDI                   
✅ 04-16-24-SABE-335-0000017 | SABE     |  335 | DIRECTA    | D4 18:24 UTC     | D5 04:24 UTC     | SPIM → SABE                   
✅ 12-15-30-EHAM-306-0000012 | EHAM     |  306 | DIRECTA    | D12 17:30 UTC    | D13 05:30 UTC    | EBCI → EHAM                   
✅ 06-08-15-SGAS-220-0000016 | SGAS     |  220 | DIRECTA    | D6 10:15 UTC     | D6 21:15 UTC     | SPIM → SGAS                   
✅ 05-22-38-OOMS-343-0000012 | OOMS     |  343 | DIRECTA    | D6 00:38 UTC     | D6 12:38 UTC     | UBBB → OOMS                   
✅ 29-11-47-SEQM-275-0000018 | SEQM     |  275 | DIRECTA    | D29 13:47 UTC    | D30 01:47 UTC    | SPIM → SEQM                   
✅ 28-23-03-OYSN-299-0000001 | OYSN     |  299 | DIRECTA    | D29 01:03 UTC    | D29 14:03 UTC    | UBBB → OYSN                   
✅ 10-22-43-SKBO-318-0000024 | SKBO     |  318 | DIRECTA    | D11 00:43 UTC    | D11 12:43 UTC    | SPIM → SKBO                   
✅ 06-16-05-SVMI-281-0000024 | SVMI     |  281 | DIRECTA    | D6 18:05 UTC     | D7 05:05 UTC     | SPIM → SVMI                   
✅ 27-06-30-SBBR-207-0000013 | SBBR     |  207 | DIRECTA    | D27 08:30 UTC    | D27 18:30 UTC    | SPIM → SBBR                   
✅ 18-23-14-EDDI-256-0000015 | EDDI     |  256 | DIRECTA    | D19 01:14 UTC    | D19 13:14 UTC    | EBCI → EDDI                   
✅ 16-23-43-EDDI-212-0000022 | EDDI     |  212 | DIRECTA    | D17 01:43 UTC    | D17 13:43 UTC    | EBCI → EDDI                   
✅ 21-17-00-SUAA-285-0000008 | SUAA     |  285 | DIRECTA    | D21 19:00 UTC    | D22 05:00 UTC    | SPIM → SUAA                   
✅ 06-15-10-OPKC-298-0000011 | OPKC     |  298 | DIRECTA    | D6 17:10 UTC     | D7 04:10 UTC     | UBBB → OPKC                   
✅ 02-08-57-EKCH-305-0000014 | EKCH     |  305 | DIRECTA    | D2 10:57 UTC     | D2 22:57 UTC     | EBCI → EKCH                   
✅ 22-03-29-SLLP-243-0000002 | SLLP     |  243 | DIRECTA    | D22 05:29 UTC    | D22 16:29 UTC    | SPIM → SLLP                   
✅ 22-22-45-SUAA-318-0000024 | SUAA     |  318 | DIRECTA    | D23 00:45 UTC    | D23 10:45 UTC    | SPIM → SUAA                   
✅ 08-11-47-SLLP-243-0000025 | SLLP     |  243 | DIRECTA    | D8 13:47 UTC     | D9 00:47 UTC     | SPIM → SLLP                   
✅ 13-22-39-LOWW-210-0000024 | LOWW     |  210 | DIRECTA    | D14 00:39 UTC    | D14 12:39 UTC    | EBCI → LOWW                   
✅ 11-00-51-LATI-269-0000017 | LATI     |  269 | DIRECTA    | D11 02:51 UTC    | D11 14:51 UTC    | EBCI → LATI                   
✅ 11-09-09-SEQM-336-0000010 | SEQM     |  336 | DIVIDIDO   | D11 11:09 UTC    | D12 10:09 UTC    | DIVIDIDO → D11-08:10[300](DIR), D11-17:11[36](DIR)
✅ 13-10-14-SEQM-255-0000016 | SEQM     |  255 | DIRECTA    | D13 12:14 UTC    | D14 00:14 UTC    | SPIM → SEQM                   
✅ 03-21-13-LATI-204-0000006 | LATI     |  204 | DIRECTA    | D3 23:13 UTC     | D4 11:13 UTC     | EBCI → LATI                   
✅ 03-23-33-VIDP-339-0000004 | VIDP     |  339 | DIVIDIDO   | D4 01:33 UTC     | D4 21:33 UTC     | DIVIDIDO → D4-09:12[320](DIR), D4-14:49[19](DIR)
✅ 12-03-29-EDDI-306-0000009 | EDDI     |  306 | DIRECTA    | D12 05:29 UTC    | D12 17:29 UTC    | EBCI → EDDI                   
✅ 03-12-29-SGAS-263-0000025 | SGAS     |  263 | DIRECTA    | D3 14:29 UTC     | D4 01:29 UTC     | SPIM → SGAS                   
✅ 04-11-33-OAKB-249-0000018 | OAKB     |  249 | DIRECTA    | D4 13:33 UTC     | D5 02:33 UTC     | UBBB → OAKB                   
✅ 01-20-37-SUAA-237-0000015 | SUAA     |  237 | DIRECTA    | D1 22:37 UTC     | D2 08:37 UTC     | SPIM → SUAA                   
✅ 03-02-05-SABE-266-0000006 | SABE     |  266 | DIRECTA    | D3 04:05 UTC     | D3 14:05 UTC     | SPIM → SABE                   
✅ 06-09-31-SVMI-349-0000011 | SVMI     |  349 | DIVIDIDO   | D6 11:31 UTC     | D7 04:31 UTC     | DIVIDIDO → D6-05:24[320](DIR), D6-12:15[29](DIR)
✅ 27-21-26-SVMI-297-0000007 | SVMI     |  297 | DIRECTA    | D27 23:26 UTC    | D28 10:26 UTC    | SPIM → SVMI                   
✅ 06-13-25-OSDI-347-0000012 | OSDI     |  347 | DIRECTA    | D6 15:25 UTC     | D7 04:25 UTC     | UBBB → OSDI                   
✅ 08-13-21-LOWW-203-0000018 | LOWW     |  203 | DIRECTA    | D8 15:21 UTC     | D9 03:21 UTC     | EBCI → LOWW                   
✅ 22-05-50-LDZA-247-0000002 | LDZA     |  247 | DIRECTA    | D22 07:50 UTC    | D22 19:50 UTC    | EBCI → LDZA                   
✅ 16-08-22-OPKC-260-0000015 | OPKC     |  260 | DIRECTA    | D16 10:22 UTC    | D16 21:22 UTC    | UBBB → OPKC                   
✅ 16-04-20-OSDI-335-0000016 | OSDI     |  335 | DIRECTA    | D16 06:20 UTC    | D16 19:20 UTC    | UBBB → OSDI                   
✅ 07-01-23-SABE-248-0000007 | SABE     |  248 | DIRECTA    | D7 03:23 UTC     | D7 13:23 UTC     | SPIM → SABE                   
✅ 15-13-51-SVMI-343-0000005 | SVMI     |  343 | DIVIDIDO   | D15 15:51 UTC    | D16 21:51 UTC    | DIVIDIDO → D15-12:15[320](DIR), D16-05:24[23](DIR)
✅ 20-05-04-SGAS-301-0000013 | SGAS     |  301 | DIRECTA    | D20 07:04 UTC    | D20 18:04 UTC    | SPIM → SGAS                   
✅ 13-03-00-SVMI-324-0000003 | SVMI     |  324 | DIVIDIDO   | D13 05:00 UTC    | D14 04:00 UTC    | DIVIDIDO → D13-05:24[320](DIR), D13-12:15[4](DIR)
✅ 20-23-40-SEQM-276-0000022 | SEQM     |  276 | DIRECTA    | D21 01:40 UTC    | D21 13:40 UTC    | SPIM → SEQM                   
✅ 01-21-39-VIDP-307-0000007 | VIDP     |  307 | DIRECTA    | D1 23:39 UTC     | D2 10:39 UTC     | UBBB → VIDP                   
✅ 06-17-19-EHAM-310-0000018 | EHAM     |  310 | DIRECTA    | D6 19:19 UTC     | D7 07:19 UTC     | EBCI → EHAM                   
✅ 05-02-39-SKBO-304-0000004 | SKBO     |  304 | DIRECTA    | D5 04:39 UTC     | D5 16:39 UTC     | SPIM → SKBO                   
✅ 25-23-03-OYSN-293-0000004 | OYSN     |  293 | DIRECTA    | D26 01:03 UTC    | D26 14:03 UTC    | UBBB → OYSN                   
✅ 24-21-17-OERK-250-0000020 | OERK     |  250 | DIRECTA    | D24 23:17 UTC    | D25 12:17 UTC    | UBBB → OERK                   
✅ 13-23-53-VIDP-299-0000004 | VIDP     |  299 | DIRECTA    | D14 01:53 UTC    | D14 12:53 UTC    | UBBB → VIDP                   
✅ 07-17-18-LATI-229-0000017 | LATI     |  229 | DIRECTA    | D7 19:18 UTC     | D8 07:18 UTC     | EBCI → LATI                   
✅ 07-12-41-EKCH-327-0000019 | EKCH     |  327 | DIRECTA    | D7 14:41 UTC     | D8 02:41 UTC     | EBCI → EKCH                   
✅ 12-13-05-VIDP-263-0000009 | VIDP     |  263 | DIRECTA    | D12 15:05 UTC    | D13 02:05 UTC    | UBBB → VIDP                   
✅ 23-08-06-OMDB-325-0000024 | OMDB     |  325 | DIRECTA    | D23 10:06 UTC    | D23 22:06 UTC    | UBBB → OMDB                   
✅ 30-09-06-SBBR-225-0000025 | SBBR     |  225 | DIRECTA    | D30 11:06 UTC    | D30 21:06 UTC    | SPIM → SBBR                   
✅ 04-18-56-OSDI-306-0000010 | OSDI     |  306 | DIRECTA    | D4 20:56 UTC     | D5 09:56 UTC     | UBBB → OSDI                   
✅ 03-01-56-VIDP-334-0000019 | VIDP     |  334 | DIVIDIDO   | D3 03:56 UTC     | D3 21:56 UTC     | DIVIDIDO → D3-09:12[320](DIR), D3-14:49[14](DIR)
✅ 28-18-28-LATI-274-0000024 | LATI     |  274 | DIRECTA    | D28 20:28 UTC    | D29 08:28 UTC    | EBCI → LATI                   
✅ 03-09-04-OJAI-314-0000013 | OJAI     |  314 | DIVIDIDO   | D3 11:04 UTC     | D4 23:04 UTC     | DIVIDIDO → D3-15:17[300](DIR), D4-15:17[14](DIR)
✅ 15-05-37-UMMS-264-0000012 | UMMS     |  264 | DIRECTA    | D15 07:37 UTC    | D15 17:37 UTC    | UBBB → UMMS                   
✅ 23-23-46-OJAI-248-0000018 | OJAI     |  248 | DIRECTA    | D24 01:46 UTC    | D24 13:46 UTC    | UBBB → OJAI                   
✅ 30-19-52-SCEL-245-0000021 | SCEL     |  245 | DIRECTA    | D30 21:52 UTC    | D31 08:52 UTC    | SPIM → SCEL                   
✅ 25-02-36-OERK-281-0000025 | OERK     |  281 | DIRECTA    | D25 04:36 UTC    | D25 17:36 UTC    | UBBB → OERK                   
✅ 06-00-26-EDDI-215-0000015 | EDDI     |  215 | DIRECTA    | D6 02:26 UTC     | D6 14:26 UTC     | EBCI → EDDI                   
✅ 19-08-51-OAKB-272-0000019 | OAKB     |  272 | DIRECTA    | D19 10:51 UTC    | D19 23:51 UTC    | UBBB → OAKB                   
✅ 06-04-28-LKPR-244-0000019 | LKPR     |  244 | DIRECTA    | D6 06:28 UTC     | D6 18:28 UTC     | EBCI → LKPR                   
✅ 26-03-26-SKBO-299-0000012 | SKBO     |  299 | DIRECTA    | D26 05:26 UTC    | D26 17:26 UTC    | SPIM → SKBO                   
✅ 17-15-13-OYSN-303-0000016 | OYSN     |  303 | DIRECTA    | D17 17:13 UTC    | D18 06:13 UTC    | UBBB → OYSN                   
✅ 06-05-27-OYSN-333-0000023 | OYSN     |  333 | DIRECTA    | D6 07:27 UTC     | D6 20:27 UTC     | UBBB → OYSN                   
✅ 17-00-44-SVMI-254-0000016 | SVMI     |  254 | DIRECTA    | D17 02:44 UTC    | D17 13:44 UTC    | SPIM → SVMI                   
✅ 15-01-21-LDZA-235-0000007 | LDZA     |  235 | DIRECTA    | D15 03:21 UTC    | D15 15:21 UTC    | EBCI → LDZA                   
✅ 19-19-28-OYSN-322-0000017 | OYSN     |  322 | DIRECTA    | D19 21:28 UTC    | D20 10:28 UTC    | UBBB → OYSN                   
✅ 12-05-23-LBSF-310-0000023 | LBSF     |  310 | DIRECTA    | D12 07:23 UTC    | D12 18:23 UTC    | EBCI → LBSF                   
✅ 05-11-11-LATI-295-0000004 | LATI     |  295 | DIRECTA    | D5 13:11 UTC     | D6 01:11 UTC     | EBCI → LATI                   
✅ 12-04-07-LKPR-274-0000021 | LKPR     |  274 | DIRECTA    | D12 06:07 UTC    | D12 18:07 UTC    | EBCI → LKPR                   
✅ 22-11-31-SKBO-291-0000002 | SKBO     |  291 | DIRECTA    | D22 13:31 UTC    | D23 01:31 UTC    | SPIM → SKBO                   
✅ 08-13-47-OSDI-252-0000015 | OSDI     |  252 | DIRECTA    | D8 15:47 UTC     | D9 04:47 UTC     | UBBB → OSDI                   
✅ 18-20-45-SABE-282-0000012 | SABE     |  282 | DIRECTA    | D18 22:45 UTC    | D19 08:45 UTC    | SPIM → SABE                   
✅ 14-15-57-LOWW-223-0000005 | LOWW     |  223 | DIRECTA    | D14 17:57 UTC    | D15 05:57 UTC    | EBCI → LOWW                   
✅ 22-07-54-OERK-325-0000003 | OERK     |  325 | DIRECTA    | D22 09:54 UTC    | D22 22:54 UTC    | UBBB → OERK                   
✅ 26-17-02-LKPR-295-0000017 | LKPR     |  295 | DIRECTA    | D26 19:02 UTC    | D27 07:02 UTC    | EBCI → LKPR                   
✅ 29-00-16-SCEL-291-0000015 | SCEL     |  291 | DIRECTA    | D29 02:16 UTC    | D29 13:16 UTC    | SPIM → SCEL                   
✅ 03-13-44-SLLP-225-0000021 | SLLP     |  225 | DIRECTA    | D3 15:44 UTC     | D4 02:44 UTC     | SPIM → SLLP                   
✅ 21-20-13-LOWW-324-0000021 | LOWW     |  324 | DIRECTA    | D21 22:13 UTC    | D22 10:13 UTC    | EBCI → LOWW                   
✅ 03-08-22-SUAA-253-0000002 | SUAA     |  253 | DIRECTA    | D3 10:22 UTC     | D3 20:22 UTC     | SPIM → SUAA                   
✅ 16-09-55-SABE-287-0000006 | SABE     |  287 | DIRECTA    | D16 11:55 UTC    | D16 21:55 UTC    | SPIM → SABE                   
✅ 20-21-26-LKPR-216-0000012 | LKPR     |  216 | DIRECTA    | D20 23:26 UTC    | D21 11:26 UTC    | EBCI → LKPR                   
✅ 08-22-55-OSDI-276-0000001 | OSDI     |  276 | DIRECTA    | D9 00:55 UTC     | D9 13:55 UTC     | UBBB → OSDI                   
✅ 21-21-02-SABE-281-0000001 | SABE     |  281 | DIRECTA    | D21 23:02 UTC    | D22 09:02 UTC    | SPIM → SABE                   
✅ 04-11-56-OSDI-294-0000008 | OSDI     |  294 | DIRECTA    | D4 13:56 UTC     | D5 02:56 UTC     | UBBB → OSDI                   
✅ 11-13-07-OAKB-269-0000017 | OAKB     |  269 | DIRECTA    | D11 15:07 UTC    | D12 04:07 UTC    | UBBB → OAKB                   
✅ 05-08-16-UMMS-285-0000005 | UMMS     |  285 | DIRECTA    | D5 10:16 UTC     | D5 20:16 UTC     | UBBB → UMMS                   
✅ 16-03-09-OJAI-226-0000001 | OJAI     |  226 | DIRECTA    | D16 05:09 UTC    | D16 17:09 UTC    | UBBB → OJAI                   
✅ 30-15-46-LDZA-284-0000001 | LDZA     |  284 | DIRECTA    | D30 17:46 UTC    | D31 05:46 UTC    | EBCI → LDZA                   
✅ 07-09-57-SGAS-232-0000008 | SGAS     |  232 | DIRECTA    | D7 11:57 UTC     | D7 22:57 UTC     | SPIM → SGAS                   
✅ 21-19-47-SVMI-281-0000024 | SVMI     |  281 | DIRECTA    | D21 21:47 UTC    | D22 08:47 UTC    | SPIM → SVMI                   
✅ 17-19-42-OSDI-307-0000004 | OSDI     |  307 | DIRECTA    | D17 21:42 UTC    | D18 10:42 UTC    | UBBB → OSDI                   
✅ 15-13-44-OSDI-268-0000021 | OSDI     |  268 | DIRECTA    | D15 15:44 UTC    | D16 04:44 UTC    | UBBB → OSDI                   
✅ 19-01-17-OERK-345-0000008 | OERK     |  345 | DIRECTA    | D19 03:17 UTC    | D19 16:17 UTC    | UBBB → OERK                   
✅ 23-02-41-OPKC-249-0000014 | OPKC     |  249 | DIRECTA    | D23 04:41 UTC    | D23 15:41 UTC    | UBBB → OPKC                   
✅ 14-23-16-OMDB-262-0000001 | OMDB     |  262 | DIRECTA    | D15 01:16 UTC    | D15 13:16 UTC    | UBBB → OMDB                   
✅ 10-10-48-SKBO-262-0000019 | SKBO     |  262 | DIRECTA    | D10 12:48 UTC    | D11 00:48 UTC    | SPIM → SKBO                   
✅ 14-06-23-VIDP-240-0000025 | VIDP     |  240 | DIRECTA    | D14 08:23 UTC    | D14 19:23 UTC    | UBBB → VIDP                   
✅ 27-18-37-LDZA-221-0000009 | LDZA     |  221 | DIRECTA    | D27 20:37 UTC    | D28 08:37 UTC    | EBCI → LDZA                   
✅ 12-04-22-SGAS-255-0000009 | SGAS     |  255 | DIRECTA    | D12 06:22 UTC    | D12 17:22 UTC    | SPIM → SGAS                   
✅ 06-11-05-OMDB-230-0000018 | OMDB     |  230 | DIRECTA    | D6 13:05 UTC     | D7 01:05 UTC     | UBBB → OMDB                   
✅ 11-01-51-OMDB-261-0000007 | OMDB     |  261 | DIRECTA    | D11 03:51 UTC    | D11 15:51 UTC    | UBBB → OMDB                   
✅ 16-10-31-OSDI-333-0000008 | OSDI     |  333 | DIRECTA    | D16 12:31 UTC    | D17 01:31 UTC    | UBBB → OSDI                   
✅ 18-20-34-OPKC-257-0000008 | OPKC     |  257 | DIRECTA    | D18 22:34 UTC    | D19 09:34 UTC    | UBBB → OPKC                   
✅ 21-18-54-OERK-292-0000006 | OERK     |  292 | DIRECTA    | D21 20:54 UTC    | D22 09:54 UTC    | UBBB → OERK                   
✅ 11-12-08-OMDB-230-0000021 | OMDB     |  230 | DIRECTA    | D11 14:08 UTC    | D12 02:08 UTC    | UBBB → OMDB                   
✅ 26-16-45-OPKC-332-0000001 | OPKC     |  332 | DIRECTA    | D26 18:45 UTC    | D27 05:45 UTC    | UBBB → OPKC                   
✅ 14-11-03-OSDI-315-0000015 | OSDI     |  315 | DIRECTA    | D14 13:03 UTC    | D15 02:03 UTC    | UBBB → OSDI                   
✅ 05-15-30-OJAI-201-0000011 | OJAI     |  201 | DIRECTA    | D5 17:30 UTC     | D6 05:30 UTC     | UBBB → OJAI                   
✅ 28-04-19-OYSN-210-0000018 | OYSN     |  210 | DIRECTA    | D28 06:19 UTC    | D28 19:19 UTC    | UBBB → OYSN                   
✅ 29-23-42-SABE-241-0000010 | SABE     |  241 | DIRECTA    | D30 01:42 UTC    | D30 11:42 UTC    | SPIM → SABE                   
✅ 20-05-18-EHAM-314-0000012 | EHAM     |  314 | DIRECTA    | D20 07:18 UTC    | D20 19:18 UTC    | EBCI → EHAM                   
✅ 02-19-50-VIDP-297-0000020 | VIDP     |  297 | DIRECTA    | D2 21:50 UTC     | D3 08:50 UTC     | UBBB → VIDP                   
✅ 16-01-23-SBBR-299-0000021 | SBBR     |  299 | DIRECTA    | D16 03:23 UTC    | D16 13:23 UTC    | SPIM → SBBR                   
✅ 12-19-26-SGAS-233-0000008 | SGAS     |  233 | DIRECTA    | D12 21:26 UTC    | D13 08:26 UTC    | SPIM → SGAS                   
✅ 03-22-22-EHAM-256-0000022 | EHAM     |  256 | DIRECTA    | D4 00:22 UTC     | D4 12:22 UTC     | EBCI → EHAM                   
✅ 23-14-19-SLLP-268-0000008 | SLLP     |  268 | DIRECTA    | D23 16:19 UTC    | D24 03:19 UTC    | SPIM → SLLP                   
✅ 18-21-15-EKCH-349-0000025 | EKCH     |  349 | DIRECTA    | D18 23:15 UTC    | D19 11:15 UTC    | EBCI → EKCH                   
✅ 12-14-55-OSDI-302-0000018 | OSDI     |  302 | DIRECTA    | D12 16:55 UTC    | D13 05:55 UTC    | UBBB → OSDI                   
✅ 03-15-00-SABE-211-0000004 | SABE     |  211 | DIRECTA    | D3 17:00 UTC     | D4 03:00 UTC     | SPIM → SABE                   
✅ 21-01-33-SBBR-235-0000006 | SBBR     |  235 | DIRECTA    | D21 03:33 UTC    | D21 13:33 UTC    | SPIM → SBBR                   
✅ 20-06-18-LKPR-267-0000003 | LKPR     |  267 | DIRECTA    | D20 08:18 UTC    | D20 20:18 UTC    | EBCI → LKPR                   
✅ 08-23-17-OERK-289-0000015 | OERK     |  289 | DIRECTA    | D9 01:17 UTC     | D9 14:17 UTC     | UBBB → OERK                   
✅ 04-10-09-OOMS-245-0000015 | OOMS     |  245 | DIRECTA    | D4 12:09 UTC     | D5 00:09 UTC     | UBBB → OOMS                   
✅ 16-00-34-UMMS-298-0000021 | UMMS     |  298 | DIRECTA    | D16 02:34 UTC    | D16 12:34 UTC    | UBBB → UMMS                   
✅ 30-12-37-EDDI-204-0000006 | EDDI     |  204 | DIRECTA    | D30 14:37 UTC    | D31 02:37 UTC    | EBCI → EDDI                   
✅ 27-02-42-SVMI-338-0000017 | SVMI     |  338 | DIVIDIDO   | D27 04:42 UTC    | D28 04:42 UTC    | DIVIDIDO → D27-05:24[320](DIR), D27-12:15[18](DIR)
✅ 07-11-31-SABE-264-0000011 | SABE     |  264 | DIRECTA    | D7 13:31 UTC     | D7 23:31 UTC     | SPIM → SABE                   
✅ 01-14-38-SUAA-266-0000015 | SUAA     |  266 | DIRECTA    | D1 16:38 UTC     | D2 02:38 UTC     | SPIM → SUAA                   
✅ 19-21-47-SEQM-205-0000003 | SEQM     |  205 | DIRECTA    | D19 23:47 UTC    | D20 11:47 UTC    | SPIM → SEQM                   
✅ 28-03-02-OJAI-336-0000009 | OJAI     |  336 | DIVIDIDO   | D28 05:02 UTC    | D29 23:02 UTC    | DIVIDIDO → D28-15:17[300](DIR), D29-15:17[36](DIR)
